global_task_id,station_name,local_task_id,data_size_byte,compute_density_FLOPs_per_byte,delay_sensitivity,memory_usage_byte,deadline_second,sampling_rate_Hz,task_type,priority,dependency_task_id,memory_usage_mb,priority_score,source_task_id,task_id,data_size_mb,data_size_norm,compute_norm,delay_norm,memory_norm,deadline_ms,high_priority,dependency_ids,dependency_count,in_degree,out_degree,edge_energy_kj,avg_delay_ms,reference_action
1801,M88,1,875992.04,2.5e-05,0.4366,1135855.78,1441.79,200.0,signal_enhancement,low,,0.8354111099243374,0.3,1801,0,0.8354111099243164,0.12563249057948536,0.007092178461905073,0.003154135643865543,0.12563249057948508,35.907905893001974,False,[],0,0,0,0.2712562695848827,15.383984118109145,0
1190,M93,0,2285554.34,0.000177,1.5954,1962496.56,1275.04,200.0,denoising,low,,2.1796744728092237,0.3,1190,1,2.1796744728088377,0.3667009079550292,0.050212623510287914,0.011721909633812547,0.366700907955089,36.615146342805744,False,[],0,0,0,0.2978722186331513,18.570836302735472,0
1817,M88,7,1689084.25,9.4e-05,2.7338,3972090.64,2218.43,200.0,signal_enhancement,low,,1.6108362674714647,0.3,1817,2,1.6108362674713135,0.2646904465457334,0.026666591016763073,0.02013885294599383,0.2646904465457534,35.95459619780312,False,[],0,0,0,0.28570855619650837,17.12690310375907,0
251,M94,1,667070.92,1.4000000000000001e-05,0.6158,616732.43,1128.85,200.0,signal_enhancement,low,0.0,0.6361684036254972,0.3,251,3,0.6361684036254883,0.08990204875742039,0.003971619938666841,0.004479079636787966,0.08990204875741875,35.72523580592604,False,[116],1,0,1,0.267867339290167,14.970509646470207,0
2505,M93,0,1385685.94,8e-06,2.278,1551917.42,1501.96,200.0,signal_enhancement,low,,1.3214930915832626,0.3,2505,4,1.321493091583252,0.21280217567887308,0.0022694971078096233,0.01676882241042441,0.21280217567886903,35.84814403040276,False,[],0,0,0,0.2774099885626375,16.168872704729303,0
1117,M88,7,2222062.49,8.3e-05,1.0616,1928008.37,1023.63,200.0,signal_enhancement,low,,2.119123926162896,0.3,1117,5,2.11912392616272,0.355842303269202,0.02354603249352484,0.0077751735656094835,0.3558423032692244,36.69011400610852,False,[],0,0,0,0.2924702097854354,17.982251617575468,0
1411,M94,1,1757802.65,6e-06,0.4622,1847429.71,2228.92,200.0,signal_enhancement,low,,1.6763712406158546,0.3,1411,6,1.6763712406158446,0.2764429146222275,0.0017021228308572176,0.003343413357140175,0.27644291462222187,36.505469257774706,False,[],0,0,0,0.2824047940510239,16.795067357177707,0
2113,M93,3,1297589.81,1.8e-05,1.5792,1476213.71,1627.38,200.0,signal_enhancement,low,,1.237478075027488,0.3,2113,7,1.2374780750274659,0.1977356584798744,0.005106368492571653,0.011602132330880944,0.19773565847987273,35.94287866399307,False,[],0,0,0,0.2766869353221271,16.069271217665033,0
408,M94,8,1862656.98,7.3e-05,0.1829,1114536.4,2342.4,200.0,denoising,medium,,1.7763681221009597,0.65,408,8,1.77636812210083,0.2943754794957865,0.02070916110876281,0.0012783639306712434,0.29437547949580195,31.389151000063006,False,[],0,0,0,0.2870705957481526,17.316519694915595,0
2579,M93,2,2109416.68,0.000153,2.7126,2674963.21,1426.53,200.0,denoising,low,,2.0116965103152493,0.3,2579,9,2.0116965103149416,0.3365772114455301,0.04340413218685905,0.019982107339688276,0.3365772114455765,36.24684562559147,False,[],0,0,0,0.29430487938740846,18.147046493818763,0
2254,M94,4,1228099.83,2.9999999999999997e-05,1.4092,1213988.93,779.36,200.0,signal_enhancement,low,,1.171207265853917,0.3,2254,10,1.171207265853882,0.18585123201496528,0.008510614154286087,0.010345210016166593,0.18585123201496617,35.93304862757486,False,[],0,0,0,0.27631490296742584,16.011703374926803,0
52,M94,2,1964487.89,5.4000000000000005e-05,1.1469,1440466.81,1515.83,200.0,denoising,low,,1.8734816455842074,0.3,52,11,1.8734816455841063,0.3117909682000541,0.015319105477714959,0.008405852821169096,0.311790968200064,36.494988288165146,False,[],0,0,0,0.28754752538721584,17.39365358059941,0
644,M94,4,2228329.77,2.8000000000000003e-05,2.4759,1362560.82,2424.04,200.0,signal_enhancement,low,,2.125100870132506,0.3,644,12,2.1251008701324463,0.3569141560499194,0.007943239877333683,0.018232027857965412,0.3569141560499209,36.38069578846072,False,[],0,0,0,0.28990348326314025,17.712119878291197,0
1763,M90,3,2197503.22,1.4999999999999999e-05,1.4595,2146361.91,1331.3,200.0,signal_enhancement,low,,2.095702381134065,0.3,1763,13,2.0957023811340334,0.35164208852821566,0.0042553070771430435,0.010717111148108544,0.3516420885282122,36.58505501966961,False,[],0,0,0,0.28885476928537157,17.593016412670732,0
2776,M93,1,4448357.79,1.1e-05,0.5177,4517369.0,4226.15,200.0,denoising,low,,4.242284574508714,0.3,2776,14,4.242284574508667,0.7365913376195188,0.003120558523238232,0.0037537615245910373,0.7365913376195096,38.333752504740346,False,[],0,0,0,0.31945780195851203,21.422083429613476,1
900,M88,0,1049142.16,2.2e-05,2.1316,2284000.83,3135.82,200.0,denoising,low,,1.0005399322509985,0.3,900,15,1.0005399322509765,0.15524524724642053,0.006241117046476464,0.01568639048763511,0.15524524724641978,35.65038927435663,False,[],0,0,0,0.2734806096776146,15.664792579300782,0
1073,M90,3,1300947.56,2.7000000000000002e-05,0.7927,2020170.16,701.95,200.0,denoising,low,1.0,1.2406802749634125,0.3,1073,16,1.240680274963379,0.19830991296897554,0.0076595527388574796,0.0057870182101583695,0.1983099129689759,36.11962910557115,False,[],0,0,0,0.2771669170031238,16.12097107898919,0
472,M88,2,1138917.02,2.3e-05,0.3001,2092044.46,1413.72,200.0,signal_enhancement,low,,1.0861559104919685,0.3,472,17,1.0861559104919434,0.170598866891548,0.006524804184952667,0.002144900961756667,0.17059886689154746,36.118048438713494,False,[],0,0,0,0.27475712606276576,15.823435144244627,0
2738,M94,8,4409985.54,9e-06,0.6057,4369644.6,1832.23,200.0,signal_enhancement,low,,4.2056899452209855,0.3,2738,18,4.205689945220947,0.730028777327832,0.0025531842462858264,0.004404403663972584,0.7300287773278213,38.28798299939215,False,[],0,0,0,0.31883634350809514,21.346245089711466,1
2546,M94,5,1611967.76,2.8000000000000003e-05,0.0261,1649323.7,1805.29,200.0,signal_enhancement,high,1.0,1.5372922515869571,1.0,2546,19,1.537292251586914,0.2515017068938167,0.007943239877333683,0.00011903793686412391,0.25150170689381757,26.00243568946934,True,[],0,0,0,0.28147048733065205,16.65799538673017,1
44,M88,4,379146.33,0.000245,0.9457,1848195.57,511.1,200.0,denoising,low,,0.36158211708077703,0.3,44,20,0.3615821170806885,0.04066014917284556,0.0695033489266697,0.006918248293401287,0.040660149172859296,35.45509314788934,False,[],0,0,0,0.2750683812513615,15.65766177240851,0
289,M90,9,1334485.89,1.6e-05,2.0767,1876776.41,1837.71,200.0,denoising,low,,1.2726649188995565,0.3,289,21,1.272664918899536,0.20404575886561926,0.004538994215619247,0.015280478516589122,0.20404575886561716,35.857768679964806,False,[],0,0,0,0.2770952897259048,16.122159484537338,0
912,M94,2,2278129.6,2.7000000000000002e-05,2.2016,3690332.49,2362.27,200.0,denoising,low,,2.172593688964903,0.3,912,22,2.172593688964844,0.3654311021995654,0.0076595527388574796,0.01620394673487043,0.3654311021995666,36.475606006752145,False,[],0,0,0,0.290536612141571,17.792182971295087,0
2083,M93,3,1001834.31,2.8000000000000003e-05,1.2702,1205223.57,1408.38,200.0,denoising,low,,0.955423650741604,0.3,2083,23,0.9554236507415772,0.14715448848468324,0.007943239877333683,0.00931749118237074,0.14715448848468352,35.8090932184676,False,[],0,0,0,0.27312270985792136,15.614523202638837,0
